geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Zm00001d025781,6.808897449,-6.098921548,2.081826396,-2.929601411,0.00339397,0.013708402
Zm00001d015721,6.722452749,-6.079093687,1.940378569,-3.132942088,0.001730636,0.007741122
Zm00001d015283,6.605051298,-6.05209988,1.971487184,-3.069814468,0.002141918,0.009275523
Zm00001d044775,6.554960238,-6.041428714,1.89973154,-3.180148661,0.001471995,0.006756732
Zm00001d004306,6.485125103,-6.027773723,2.153345186,-2.799260314,0.005121983,0.019284742
Zm00001d039895,6.480257037,-6.027060041,1.927640163,-3.126652037,0.001768091,0.007881903
Zm00001d048246,6.388163165,-6.00342271,2.095678483,-2.864667819,0.004174469,0.01625019
Zm00001d021321,6.391554685,-6.003313299,2.177005503,-2.757601344,0.005822716,0.021522037
Zm00001d047698,6.317199203,-5.987539082,1.955222486,-3.062331332,0.002196202,0.009475401
Zm00001d011895,6.128486071,-5.942955668,2.062246837,-2.881786778,0.003954272,0.015528639
Zm00001d033308,6.074741441,-5.933475907,1.950439372,-3.04212271,0.002349161,0.010046666
Zm00001d044827,6.047695267,-5.928076756,2.210611633,-2.681645508,0.007326105,0.026067963
Zm00001d051118,6.030737984,-5.920458134,2.017570498,-2.9344492,0.003341402,0.013543002
Zm00001d007513,11.98548014,-5.919450411,1.537650982,-3.849671011,0.000118277,0.000772596
Zm00001d003272,5.838023563,-5.875486141,1.94689812,-3.017870366,0.002545578,0.010752592
Zm00001d006841,5.81402119,-5.869815453,1.952136116,-3.006867916,0.002639544,0.011102339
Zm00001d050548,5.818108149,-5.8692355,2.040207126,-2.876784138,0.004017503,0.015734139
Zm00001d014123,5.700706697,-5.838406065,2.181061029,-2.676865061,0.007431456,0.026361551
Zm00001d025409,5.645918911,-5.827686779,1.991954833,-2.925611908,0.003437795,0.013855288
Zm00001d048197,5.628351859,-5.820379183,2.11614944,-2.75045754,0.00595121,0.021922124
Zm00001d029428,5.57799875,-5.809294027,1.996805193,-2.90929433,0.003622456,0.014457866
Zm00001d031771,5.479817275,-5.783191304,2.133236643,-2.710993795,0.006708188,0.024250772
Zm00001d038647,5.436942645,-5.770670115,2.091067561,-2.759676551,0.005785861,0.021411926
Zm00001d031549,5.408243545,-5.76656865,2.076779798,-2.77668757,0.005491594,0.020472905
Zm00001d009899,5.3351076,-5.746111923,2.069219952,-2.77694593,0.005487231,0.020461672
Zm00001d028567,5.334412162,-5.74587787,2.118413723,-2.712349249,0.006680816,0.024169116
Zm00001d047616,5.333716724,-5.745626206,2.191752546,-2.621475776,0.008754998,0.030402755
Zm00001d052807,5.337803682,-5.74511421,2.072556261,-2.771994333,0.005571401,0.020746701
Zm00001d037019,5.270145571,-5.725014547,2.337327662,-2.449384671,0.014310053,0.045717655
Zm00001d000734,5.215791173,-5.714623556,2.178608396,-2.623061385,0.008714357,0.030281392
Zm00001d042763,5.2204879,-5.712579125,2.048702882,-2.78838829,0.005297101,0.019860198
Zm00001d040581,5.056472579,-5.665335936,2.22473568,-2.546520913,0.010880269,0.036382401
Zm00001d018483,5.055081703,-5.664949845,2.224719644,-2.546365723,0.010885108,0.036394566
Zm00001d020033,5.006381519,-5.651376576,2.19823454,-2.570870611,0.010144322,0.034368908
Zm00001d026431,4.86306272,-5.610882735,2.0767095,-2.701813968,0.006896234,0.024829882
Zm00001d016154,4.816015461,-5.595603938,2.141036077,-2.613502872,0.008961933,0.031014755
Zm00001d020163,30.90476139,-5.593353502,1.467014755,-3.812745226,0.000137432,0.000881944
Zm00001d000214,4.788273849,-5.589522805,2.110640926,-2.648258516,0.008090763,0.02835275
Zm00001d023353,9.455069259,-5.583641462,1.624132215,-3.437922979,0.000586194,0.003070821
Zm00001d003293,4.671305786,-5.553386202,2.081218377,-2.668334214,0.007622839,0.026959232
Zm00001d027979,4.52346664,-5.508809843,2.271309604,-2.425389227,0.015291982,0.048259546
Zm00001d044479,4.526162722,-5.507803321,2.216629452,-2.484765018,0.012963697,0.042081686
Zm00001d041315,4.503551225,-5.500877107,2.108818718,-2.608511135,0.009093705,0.031399079
Zm00001d043951,4.478157976,-5.493070276,2.170765015,-2.530476693,0.011390765,0.037814097
Zm00001d042581,4.477462539,-5.492822312,2.240590921,-2.4515061,0.014225978,0.045504479
Zm00001d025704,4.434240189,-5.477309606,2.145366301,-2.553088301,0.010677242,0.035841903
Zm00001d000238,29.15365118,-5.466078059,1.189116263,-4.596756624,4.29E-06,4.14E-05
Zm00001d007100,4.36249512,-5.452836663,2.252296002,-2.42101245,0.015477347,0.048753161
Zm00001d018709,4.337882978,-5.447046882,2.145298521,-2.539062433,0.011114999,0.037040626
Zm00001d052654,4.266137909,-5.421765062,2.162896536,-2.506714941,0.012185894,0.039950639
Zm00001d033769,4.146126045,-5.382501131,2.178004919,-2.471298887,0.013462325,0.04346289
Zm00001d025036,27.07101864,-5.346569232,1.135499884,-4.708559909,2.49E-06,2.58E-05
Zm00001d018449,4.002721576,-5.331647087,2.196757167,-2.427053462,0.015222013,0.048078781
Zm00001d011630,6.756644376,-5.090324856,1.760313548,-2.891714867,0.003831455,0.015146416
Zm00001d047860,11.07471445,-5.02823957,1.587698904,-3.1669982,0.001540213,0.007018933
Zm00001d004957,21.43710328,-5.02395269,1.259183078,-3.989850862,6.61E-05,0.000466234
Zm00001d021324,22.04967651,-5.004363253,1.479191982,-3.383173593,0.000716533,0.003659826
Zm00001d037973,44.19499614,-4.982537878,1.422064956,-3.503734381,0.000458783,0.002479471
Zm00001d028725,19.75033619,-4.951534315,1.648725825,-3.003249078,0.002671137,0.011217888
Zm00001d036357,19.51449013,-4.94329443,1.74991216,-2.824881467,0.004729811,0.018057031
Zm00001d012281,10.75859481,-4.921502295,1.552434451,-3.170183638,0.001523426,0.006956988
Zm00001d020757,10.20715001,-4.847559819,1.604992688,-3.020300251,0.002525242,0.010677674
Zm00001d012418,42.70215753,-4.845214839,1.470496364,-3.294951935,0.000984385,0.004792888
Zm00001d020442,19.33777122,-4.798469431,1.319697045,-3.636038628,0.000276863,0.00161064
Zm00001d032071,9.61248789,-4.75405125,1.550743299,-3.065659709,0.002171903,0.00938251
Zm00001d004847,44.9879795,-4.738495176,1.430753258,-3.31188844,0.000926685,0.004552171
Zm00001d022155,9.49473872,-4.73726359,1.629214147,-2.907698535,0.003640991,0.01452037
Zm00001d006525,17.72049123,-4.681985148,1.526262451,-3.067614711,0.002157746,0.009336064
Zm00001d032453,67.222536,-4.601675358,1.2853021,-3.580228614,0.000343294,0.001935793
Zm00001d023228,15.84518203,-4.509803315,1.462223606,-3.084209074,0.002040941,0.008909533
Zm00001d047163,9.697365828,-4.440136028,1.60248479,-2.77078201,0.005592185,0.020801858
Zm00001d007781,17.78580591,-4.3614268,1.480736734,-2.945443779,0.003224917,0.013135872
Zm00001d039826,25.00653559,-4.29364006,1.366387616,-3.14232946,0.001676093,0.007532727
Zm00001d043798,13.46035021,-4.267087048,1.511595926,-2.822901924,0.004759113,0.018143343
Zm00001d015339,13.79724334,-4.242695253,1.707951991,-2.484083437,0.012988537,0.042139753
Zm00001d035005,12.26458562,-4.124090736,1.470750232,-2.804072811,0.005046151,0.019044177
Zm00001d048888,14.75726407,-4.077725281,1.474229726,-2.766003974,0.005674784,0.021049693
Zm00001d041258,16.23481932,-4.061004343,1.460178775,-2.781169273,0.005416349,0.020229712
Zm00001d017713,13.53764089,-4.048054676,1.470876046,-2.752138555,0.005920746,0.021826739
Zm00001d011643,79.8694851,-4.04022466,0.950641034,-4.250000278,2.14E-05,0.00017241
Zm00001d042802,66.60512294,-3.959933297,0.975787612,-4.05819181,4.95E-05,0.000361095
Zm00001d021583,24.15089717,-3.959792427,0.969392049,-4.084820409,4.41E-05,0.000327285
Zm00001d019642,26.58122583,-3.950520269,0.858262977,-4.60292518,4.17E-06,4.03E-05
Zm00001d052390,26.25523776,-3.950076865,1.052642008,-3.752535842,0.000175055,0.001087687
Zm00001d053643,10.20769877,-3.849380545,1.544071675,-2.493006385,0.012666657,0.041289923
Zm00001d034875,27.23306496,-3.836324713,1.439185197,-2.665622687,0.007684589,0.02714278
Zm00001d053706,52.87976267,-3.780142426,1.298403183,-2.911377971,0.003598384,0.014386417
Zm00001d024693,48.12033443,-3.73997643,1.471639475,-2.541367294,0.011041985,0.036833759
Zm00001d002216,20.59568972,-3.710310946,1.463435105,-2.535343681,0.011233705,0.037380331
Zm00001d039822,18.16779723,-3.695424272,1.512527289,-2.443211637,0.014557198,0.046353976
Zm00001d010371,20.37236154,-3.692803694,1.461745827,-2.526296725,0.011527208,0.038166718
Zm00001d015609,16.84716204,-3.634986387,1.465626775,-2.480158283,0.013132407,0.042556413
Zm00001d016354,35.5338752,-3.586518255,0.719284262,-4.986232069,6.16E-07,7.54E-06
Zm00001d016607,14.64592824,-3.571437535,1.143610098,-3.122950332,0.00179048,0.007962971
Zm00001d048219,26.83750229,-3.567164592,0.919850258,-3.877984012,0.000105326,0.000699149
Zm00001d002186,22.37038625,-3.53933253,1.094836497,-3.232749858,0.001226049,0.005783947
Zm00001d040061,29.99593308,-3.505828257,0.90611098,-3.869093668,0.000109241,0.000721188
Zm00001d044581,31.25687789,-3.419048245,1.093857171,-3.125680696,0.00177394,0.007902101
Zm00001d003414,14.68947826,-3.376419516,1.011753646,-3.337195303,0.000846285,0.004211829
Zm00001d032753,46.86247935,-3.281454784,0.769986235,-4.261705775,2.03E-05,0.000164672
Zm00001d025446,16.79174722,-3.262620865,1.101034112,-2.963233227,0.003044258,0.012510972
Zm00001d012774,37.94191571,-3.2609633,0.696481737,-4.682051411,2.84E-06,2.88E-05
Zm00001d020752,18.70803816,-3.148506876,0.96822225,-3.251843134,0.001146593,0.005469324
Zm00001d034324,23.19027902,-3.145332977,1.184171089,-2.656147415,0.007903906,0.027775011
Zm00001d044690,64.66080831,-3.137465715,0.515833363,-6.082324144,1.18E-09,2.55E-08
Zm00001d039764,33.96318277,-2.945275481,1.131042525,-2.604036026,0.009213307,0.031725304
Zm00001d039697,16.09792202,-2.897251383,1.145516115,-2.529210497,0.011431944,0.037913426
Zm00001d025082,22.19944633,-2.868764532,0.770423683,-3.723619348,0.000196387,0.001197403
Zm00001d010452,15.60741136,-2.714576156,1.047684492,-2.591024471,0.009569069,0.032756822
Zm00001d010802,15.12776255,-2.694845533,1.057278355,-2.548851512,0.010807831,0.036196082
Zm00001d012452,44.1645379,-2.595471153,0.982323919,-2.642174441,0.008237562,0.028823858
Zm00001d015852,27.3883581,-2.490231738,0.753996857,-3.30270838,0.000957559,0.004676548
Zm00001d031384,26.2816919,-2.469023411,0.777805302,-3.174346335,0.001501744,0.006869356
Zm00001d009473,47.55347649,-2.453056286,0.605284296,-4.052734068,5.06E-05,0.000368738
Zm00001d043058,15.45860011,-2.378794802,0.929016336,-2.560552178,0.010450597,0.035211435
Zm00001d040755,33.43582102,-2.324702011,0.798399153,-2.911704004,0.003594631,0.014377101
Zm00001d054075,18.12260719,-2.323250074,0.859950116,-2.701610279,0.006900459,0.024841727
Zm00001d011365,26.45024615,-2.276308266,0.858387948,-2.651840898,0.008005425,0.028099182
Zm00001d005750,71.37305864,-2.246842738,0.578763282,-3.882144579,0.000103539,0.000690011
Zm00001d030347,31.4289203,-2.235095337,0.765445559,-2.91999256,0.003500397,0.014070762
Zm00001d052543,64.10466762,-2.204168191,0.653991263,-3.370332781,0.000750775,0.003805222
Zm00001d005743,29.68263209,-2.150302469,0.859828388,-2.500850751,0.012389538,0.040508577
Zm00001d021469,26.57782774,-2.042098696,0.828549314,-2.464667657,0.013714039,0.044139195
Zm00001d036449,48.98013034,-2.018582608,0.571038918,-3.53493001,0.000407883,0.002242026
Zm00001d007016,52.90675658,-2.015831684,0.601576804,-3.350913249,0.000805455,0.004040474
Zm00001d052542,32.88364661,-2.014590057,0.8019926,-2.511980856,0.01200556,0.039470281
Zm00001d051504,234.2010086,-1.976596446,0.553042394,-3.57404146,0.000351513,0.001976993
Zm00001d027538,23.7798869,-1.963303378,0.76570537,-2.56404546,0.010345999,0.034938929
Zm00001d028125,29.76542824,-1.924647346,0.710362674,-2.709386931,0.006740768,0.02433952
Zm00001d024275,203.3415013,-1.855007193,0.329487782,-5.629972617,1.80E-08,3.09E-07
Zm00001d019269,26.33192594,-1.760100029,0.668656234,-2.632294351,0.008481035,0.029576768
Zm00001d048209,34.30141539,-1.700937905,0.582955451,-2.917783686,0.003525288,0.0141483
Zm00001d028365,64.69844849,-1.652335442,0.536448315,-3.080139121,0.002069039,0.009006249
Zm00001d000364,51.56842092,-1.59925613,0.632192516,-2.529697978,0.011416075,0.037877374
Zm00001d052493,47.39207416,-1.50930126,0.62613181,-2.41051682,0.015929937,0.049923646
Zm00001d006358,23.15567314,-1.507918045,0.607831493,-2.480815921,0.013108205,0.042487068
Zm00001d003525,98.16174006,-1.340335463,0.483969982,-2.769459911,0.005614931,0.020876221
